#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito
2014,I,E,11200,Impuesto Bienes Inmuebles Naturaleza Rústica,371.44
2014,I,E,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,9836189.68
2014,I,E,11400,Impto sobre Bienes Inm. Características Especiales,
2014,I,E,11500,Impuesto sobre Vehículos de Tracción Mecánica,714116.99
2014,I,E,11600,Impuesto sobre el Incremento de Valor de los Terrenos de Nat,3055016.17
2014,I,E,13000,Impuesto sobre Actividades Económicas. Actividades Empresari,1323251.62
2014,I,E,17100,Recargo provincial sobre I.A.E.,
2014,I,E,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",332454.61
2014,I,E,30001,Tasa servicio distribución agua urbanizaciones,
2014,I,E,30200,Tasas por recogida de basuras,738877.84
2014,I,E,30900,Tasas concesiones cementerio municipal,
2014,I,E,31199,Otros servicios asistenciales,
2014,I,E,31300,Tasas por serv. deportiv:enseñanzas especiales y actividades,258081.2
2014,I,E,31302,"Tasas padle, tenis, frontenis y scuash",38063.5
2014,I,E,31303,Tasas cesión canchas,5077.97
2014,I,E,31304,Tasas cuotas abono instalaciones,93712.98
2014,I,E,31305,TASAS PISCINA CUBIERTA,
2014,I,E,32100,Licencias urbanísticas,374275.33
2014,I,E,32200,Licencias de primera ocupación,61131.35
2014,I,E,32500,Tasa por expedición de documentos,9130.42
2014,I,E,32700,Licencias de apertura de establecimientos,108991.85
2014,I,E,32900,Tasa por apertura anual de piscinas de uso colectivo,22882.49
2014,I,E,33003,Tasa por vados y reservas en la vía pública,-760.7
2014,I,E,33100,Tasa de entrada de vehículos,
2014,I,E,33200,"Tasa por util. priv o aprov esp:suelo, vuelo y subsuelo",326426.21
2014,I,E,33400,Tasa por apertura de calas y zanjas,1040.92
2014,I,E,33500,Tasa por ocupación de la vía pública con terrazas,35830.56
2014,I,E,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,5187.2
2014,I,E,33700,Tasa por aprovechamiento del vuelo (grúas),7949.05
2014,I,E,33800,Compensación Telefónica de España S.A.,75446.44
2014,I,E,33900,Tasa por ocupación de vía pública,39477.43
2014,I,E,33902,Tasas de retirada de vehículos (grúas),8121.63
2014,I,E,33903,Tasa por cesión de instalaciones en dominio público,29600
2014,I,E,33904,Tasas de o.v.p. con puestos y barracas,8904.42
2014,I,E,34200,Precios públicos. Escuela de Idiomas,327349.92
2014,I,E,34201,Precios públicos escuela infantil,313400.21
2014,I,E,34202,Precios públicos. Escuela de Música y Danza,335514.99
2014,I,E,34203,Precios públicos. Cursos y Actividades.,53726.12
2014,I,E,34300,Precios públicos por prestación de servicio en Deportes,140337.37
2014,I,E,34400,Precios públicos por asistencia a espectáculos,70106.63
2014,I,E,34900,Precios públicos por publicidad en Revista Municipal y otros,45139.5
2014,I,E,34901,Precios públicos por casa de juventud,27299.74
2014,I,E,34902,Precios públicos por servicio de bodas,24127.83
2014,I,E,34903,Precios públicos libro de Torrelodones,
2014,I,E,34904,Precios públicos por transporte escolar,43232.5
2014,I,E,34905,Precios públicos por gabinete psicológico,
2014,I,E,34906,PRECIO PUBLICO SUMINISTRO AGUA HUERTOS URBANOS,2905
2014,I,E,34907,Precios públicos talleres Servicios Sociales,10930.5
2014,I,E,38900,Reintegros de Presupuestos Cerrados,17725.94
2014,I,E,39100,Multas por infracciones urbanísticas,33011.55
2014,I,E,39103,Sanciones medioambientales,17323.17
2014,I,E,39120,Multas por infracciones de la Ordenanza de Circulación.,199833.02
2014,I,E,39190,Otras multas y sanciones,36103.07
2014,I,E,39200,Recargo por declaración extemporánea sin requer. previo,46517.31
2014,I,E,39211,Recargo de apremio,275905.82
2014,I,E,39300,Intereses de demora,151636.61
2014,I,E,39620,Cuotas mantenimiento Entidad Urbanistica,74186.75
2014,I,E,39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS.,738
2014,I,E,39800,Indemnizaciones de seguros de no vida,22364.99
2014,I,E,39901,Otros ingresos diversos,74307.37
2014,I,E,39902,Otros recargos. Costas.,30472.49
2014,I,E,39903,Otros ingresos. Recogida selectiva de envases,83775.12
2014,I,E,39904,Otros ingresos. Fondo reposición arbolado,20929.41
2014,I,E,39905,Otros ingresos diversos. Recogidas RAEE,508.16
2014,I,E,39906,Ingresos por ejecución subsidiaria,100142.67
2014,I,E,42000,Participación en los tributos del Estado,4613530
2014,I,E,45000,Participación en los tributos de la Comunidad Autónoma,-164.73
2014,I,E,45060,Transferencias corrientes de la Comunidad de Madrid,879157.64
2014,I,E,45300,DE EMPRESAS PUBLICAS Y OTROS ENTES PUBLICOS,3564
2014,I,E,46301,Transferencias corrientes de Mancomunidades,106277.5
2014,I,E,47000,Transferencias de empresas privadas,7644
2014,I,E,51801,Intereses de anticipos y prestamos al personal,
2014,I,E,52100,Intereses de depósitos,18283.17
2014,I,E,53410,Dividendos de Sociedades,9766.91
2014,I,E,55000,Concesiones administrativas de contraprestación periódica,259334.17
2014,I,E,55001,Concesiones adtivas. contraprestación periódica (bares),11633.56
2014,I,E,55200,Concesiones y aprovechamientos. Derechos de superficie.,307974.86
2014,I,E,61900,Venta de inmuebles,261833
2014,I,E,75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,
2014,I,E,77000,TRANSFERENCIA CAPITAL EMPRESAS PRIVADAS,1850000
2014,I,E,83000,Reintegro de préstamos del personal,82558.82
2014,I,E,87000,Remanente Tesorería para gastos generales,
2014,I,E,87010,Remanente Tesoreria para gastos con financiación afectada,
2014,I,E,91300,Préstamos recibidos a largo plazo,1017000
