#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito
2014,I,E,11200,Impuesto Bienes Inmuebles Naturaleza Rústica,371.44
2014,I,E,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,9911639.72
2014,I,E,11400,Impto sobre Bienes Inm. Características Especiales,
2014,I,E,11500,Impuesto sobre Vehículos de Tracción Mecánica,714901.06
2014,I,E,11600,Impuesto sobre el Incremento de Valor de los Terrenos de Nat,2449887.14
2014,I,E,13000,Impuesto sobre Actividades Económicas. Actividades Empresari,1304355.57
2014,I,E,17100,Recargo provincial sobre I.A.E.,
2014,I,E,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",133169.71
2014,I,E,30001,Tasa servicio distribución agua urbanizaciones,
2014,I,E,30200,Tasas por recogida de basuras,742859.11
2014,I,E,30900,Tasas concesiones cementerio municipal,
2014,I,E,31199,Otros servicios asistenciales,
2014,I,E,31300,Tasas por serv. deportiv:enseñanzas especiales y actividades,174985.27
2014,I,E,31302,"Tasas padle, tenis, frontenis y scuash",25191.35
2014,I,E,31303,Tasas cesión canchas,2090.87
2014,I,E,31304,Tasas cuotas abono instalaciones,48641.93
2014,I,E,31305,TASAS PISCINA CUBIERTA,
2014,I,E,32100,Licencias urbanísticas,312934.9
2014,I,E,32200,Licencias de primera ocupación,48364.28
2014,I,E,32500,Tasa por expedición de documentos,4791.82
2014,I,E,32700,Licencias de apertura de establecimientos,95729.19
2014,I,E,32900,Tasa por apertura anual de piscinas de uso colectivo,22882.49
2014,I,E,33003,Tasa por vados y reservas en la vía pública,-726.05
2014,I,E,33100,Tasa de entrada de vehículos,
2014,I,E,33200,"Tasa por util. priv o aprov esp:suelo, vuelo y subsuelo",261667.32
2014,I,E,33400,Tasa por apertura de calas y zanjas,674.16
2014,I,E,33500,Tasa por ocupación de la vía pública con terrazas,35460.12
2014,I,E,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,4747.2
2014,I,E,33700,Tasa por aprovechamiento del vuelo (grúas),4769.43
2014,I,E,33800,Compensación Telefónica de España S.A.,55118.15
2014,I,E,33900,Tasa por ocupación de vía pública,29331.47
2014,I,E,33902,Tasas de retirada de vehículos (grúas),4968.83
2014,I,E,33903,Tasa por cesión de instalaciones en dominio público,25746
2014,I,E,33904,Tasas de o.v.p. con puestos y barracas,7937.22
2014,I,E,34200,Precios públicos. Escuela de Idiomas,210931.16
2014,I,E,34201,Precios públicos escuela infantil,202236.1
2014,I,E,34202,Precios públicos. Escuela de Música y Danza,210837.94
2014,I,E,34203,Precios públicos. Cursos y Actividades.,32206.64
2014,I,E,34300,Precios públicos por prestación de servicio en Deportes,88573.16
2014,I,E,34400,Precios públicos por asistencia a espectáculos,30770
2014,I,E,34900,Precios públicos por publicidad en Revista Municipal y otros,28715.75
2014,I,E,34901,Precios públicos por casa de juventud,21680.24
2014,I,E,34902,Precios públicos por servicio de bodas,20043.44
2014,I,E,34903,Precios públicos libro de Torrelodones,
2014,I,E,34904,Precios públicos por transporte escolar,29051
2014,I,E,34905,Precios públicos por gabinete psicológico,
2014,I,E,34906,PRECIO PUBLICO SUMINISTRO AGUA HUERTOS URBANOS,2905
2014,I,E,34907,Precios públicos talleres Servicios Sociales,5800.5
2014,I,E,38900,Reintegros de Presupuestos Cerrados,15723.53
2014,I,E,39100,Multas por infracciones urbanísticas,32361.19
2014,I,E,39103,Sanciones medioambientales,13700.31
2014,I,E,39120,Multas por infracciones de la Ordenanza de Circulación.,164758.21
2014,I,E,39190,Otras multas y sanciones,19200.07
2014,I,E,39200,Recargo por declaración extemporánea sin requer. previo,41858.12
2014,I,E,39211,Recargo de apremio,206690.06
2014,I,E,39300,Intereses de demora,122872.7
2014,I,E,39620,Cuotas mantenimiento Entidad Urbanistica,74186.75
2014,I,E,39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS.,738
2014,I,E,39800,Indemnizaciones de seguros de no vida,14388.22
2014,I,E,39901,Otros ingresos diversos,52420.84
2014,I,E,39902,Otros recargos. Costas.,22243.14
2014,I,E,39903,Otros ingresos. Recogida selectiva de envases,62635.86
2014,I,E,39904,Otros ingresos. Fondo reposición arbolado,19987.14
2014,I,E,39905,Otros ingresos diversos. Recogidas RAEE,508.16
2014,I,E,39906,Ingresos por ejecución subsidiaria,100142.67
2014,I,E,42000,Participación en los tributos del Estado,3168926.42
2014,I,E,45000,Participación en los tributos de la Comunidad Autónoma,
2014,I,E,45060,Transferencias corrientes de la Comunidad de Madrid,495987.34
2014,I,E,46301,Transferencias corrientes de Mancomunidades,
2014,I,E,47000,Transferencias de empresas privadas,7644
2014,I,E,51801,Intereses de anticipos y prestamos al personal,
2014,I,E,52100,Intereses de depósitos,6639.08
2014,I,E,53410,Dividendos de Sociedades,
2014,I,E,55000,Concesiones administrativas de contraprestación periódica,245157.16
2014,I,E,55001,Concesiones adtivas. contraprestación periódica (bares),11633.56
2014,I,E,55200,Concesiones y aprovechamientos. Derechos de superficie.,307974.86
2014,I,E,61900,Venta de inmuebles,
2014,I,E,75060,OTRAS TRANSF DE CAPITAL  CONV SUSCRITOS CON LA C.A,
2014,I,E,77000,TRANSFERENCIA CAPITAL EMPRESAS PRIVADAS,1850000
2014,I,E,83000,Reintegro de préstamos del personal,58725.87
2014,I,E,87000,Remanente Tesorería para gastos generales,
2014,I,E,87010,Remanente Tesoreria para gastos con financiación afectada,
2014,I,E,91300,Préstamos recibidos a largo plazo,1017000
